transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1000	35203.920000	0.028406	34.786266	34.718815	3.148323	0.040000	3.188323	455.228440
2000	69547.640000	0.028757	34.564882	34.562624	3.214473	0.040000	3.254473	450.318780
3000	103085.360000	0.029102	34.222381	34.224197	3.186428	0.040000	3.226428	450.863573
4000	138058.080000	0.028973	34.410013	34.427172	3.242643	0.040000	3.282643	447.958980
5000	173344.400000	0.028844	34.585309	34.564794	3.247968	0.040000	3.287968	449.404968
6000	208621.560000	0.028760	34.700637	34.717697	3.252972	0.040007	3.292978	452.557087
7000	243355.960000	0.028764	34.705461	34.699159	3.253949	0.040006	3.293955	452.551531
8000	278727.600000	0.028702	34.788744	34.791402	3.273234	0.040005	3.313239	453.044700
9000	313558.720000	0.028703	34.793453	34.790790	3.279419	0.040009	3.319427	453.281062
10000	347284.840000	0.028795	34.686709	34.685865	3.287587	0.040016	3.327603	451.687760
