transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1000	8892.160000	0.112459	8.715596	8.793782	3.281543	0.040000	3.321543	122.939360
2000	17527.360000	0.114107	8.675378	8.723325	3.192175	0.040000	3.232175	121.766660
3000	26118.360000	0.114862	8.647242	8.659218	3.161485	0.040000	3.201485	122.100333
4000	34976.400000	0.114363	8.699955	8.713681	3.207484	0.040010	3.247494	122.641960
5000	43620.560000	0.114625	8.688794	8.706648	3.190531	0.040016	3.230547	122.091552
6000	52321.920000	0.114675	8.690888	8.698234	3.185463	0.040013	3.225476	121.813293
7000	60757.720000	0.115212	8.654442	8.663622	3.164244	0.040011	3.204255	121.432891
8000	69436.800000	0.115213	8.657522	8.665876	3.147480	0.040010	3.187490	121.310270
9000	78057.240000	0.115300	8.653401	8.661212	3.145402	0.040013	3.185415	121.416462
10000	86817.440000	0.115184	8.664082	8.671973	3.144090	0.040016	3.184105	121.473488
