transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1	161.600000	0.006188	0.000000	11.025714	5.258667	0.040000	5.298667	114.880000
1000	8535.280000	0.117161	8.382062	8.424466	3.009477	0.040000	3.049477	120.475120
2000	17185.040000	0.116380	8.515978	8.528699	3.053856	0.040000	3.093856	121.058000
3000	25868.920000	0.115969	8.571964	8.577910	3.061114	0.040013	3.101127	120.784867
4000	34444.600000	0.116129	8.572893	8.577106	3.074811	0.040020	3.114831	121.173440
5000	43052.440000	0.116137	8.579884	8.587957	3.100267	0.040016	3.140283	121.736192
6000	51513.200000	0.116475	8.560027	8.565188	3.079495	0.040013	3.119508	121.582960
7000	60083.640000	0.116504	8.561515	8.563986	3.082070	0.040011	3.122081	121.675280
8000	68502.760000	0.116784	8.543713	8.551475	3.078801	0.040010	3.118811	121.451510
9000	77235.480000	0.116527	8.564716	8.567948	3.085391	0.040009	3.125400	121.345187
10000	85668.920000	0.116728	8.551587	8.554232	3.082233	0.040008	3.122241	121.413224
