transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1000	9050.000000	0.110497	8.877798	8.935059	3.333662	0.040000	3.373662	121.834800
2000	17607.480000	0.113588	8.717559	8.739732	3.275988	0.040000	3.315988	122.388020
3000	26102.960000	0.114929	8.643508	8.660358	3.247642	0.040000	3.287642	122.547467
4000	34903.480000	0.114602	8.682771	8.690817	3.228486	0.040000	3.268486	122.777390
5000	43765.280000	0.114246	8.718584	8.728385	3.250060	0.040000	3.290060	123.382032
6000	52514.520000	0.114254	8.723694	8.734074	3.239188	0.040007	3.279195	123.287560
7000	61327.160000	0.114142	8.736402	8.741300	3.214084	0.040006	3.254090	123.149091
8000	69872.400000	0.114494	8.712504	8.719376	3.186204	0.040005	3.226209	122.868720
9000	78665.680000	0.114408	8.721480	8.726724	3.181509	0.040004	3.221513	122.560920
10000	87104.200000	0.114805	8.693181	8.696755	3.162476	0.040004	3.202480	122.292096
