transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1000	8870.680000	0.112731	8.677798	8.775010	3.362297	0.040119	3.402416	84.701440
2000	17463.000000	0.114528	8.635038	8.693526	3.334482	0.040060	3.374542	84.227860
3000	26121.280000	0.114849	8.642788	8.673278	3.321965	0.040080	3.362045	83.669573
4000	34867.200000	0.114721	8.668577	8.691329	3.299018	0.040060	3.339078	83.932210
5000	43486.440000	0.114978	8.658708	8.682045	3.285056	0.040048	3.325104	83.785104
6000	52396.480000	0.114512	8.700603	8.717703	3.306769	0.040047	3.346815	83.779647
7000	61029.040000	0.114699	8.690882	8.702644	3.296343	0.040040	3.336383	83.612131
8000	69876.360000	0.114488	8.710439	8.722577	3.299613	0.040035	3.339648	83.718000
9000	78615.640000	0.114481	8.713644	8.727097	3.298719	0.040036	3.338754	83.785284
10000	87366.880000	0.114460	8.717404	8.728133	3.304166	0.040032	3.344198	83.795504
