transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1	212.800000	0.004699	0.000000	25.485000	15.626667	0.040000	15.666667	81.080000
1000	8777.880000	0.113923	8.573654	8.681465	3.385757	0.040000	3.425757	84.268320
2000	17459.960000	0.114548	8.627894	8.691295	3.377749	0.040000	3.417749	83.838220
3000	26170.040000	0.114635	8.655298	8.697261	3.334915	0.040000	3.374915	83.571147
4000	34871.920000	0.114705	8.666947	8.694408	3.315401	0.040000	3.355401	83.699190
5000	43624.040000	0.114616	8.683985	8.713910	3.355189	0.040000	3.395189	83.465712
6000	52497.480000	0.114291	8.715566	8.736638	3.360493	0.040000	3.400493	83.581267
7000	61464.680000	0.113887	8.751519	8.768779	3.378379	0.040000	3.418379	83.372600
8000	69988.280000	0.114305	8.723025	8.739538	3.358317	0.040000	3.398317	83.205440
9000	78635.000000	0.114453	8.714546	8.726673	3.349234	0.040000	3.389234	83.142129
10000	87267.920000	0.114590	8.706383	8.716783	3.346723	0.040000	3.386723	83.132692
