transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1000	8841.560000	0.113102	8.635636	8.770129	3.354841	0.040000	3.394841	83.000200
2000	17620.200000	0.113506	8.707174	8.750065	3.341251	0.040020	3.381271	82.472220
3000	26586.400000	0.112840	8.793545	8.827419	3.382238	0.040027	3.422265	82.812040
4000	35439.960000	0.112867	8.808552	8.838922	3.395091	0.040020	3.435111	82.863270
5000	44142.800000	0.113269	8.787405	8.811558	3.412258	0.040016	3.452274	83.070648
6000	52835.640000	0.113560	8.771642	8.793974	3.392051	0.040027	3.432077	83.065980
7000	61438.720000	0.113935	8.747558	8.762722	3.370224	0.040023	3.410247	82.905143
8000	70222.920000	0.113923	8.752139	8.769237	3.371340	0.040020	3.411360	83.038885
9000	78882.280000	0.114094	8.741829	8.756518	3.351816	0.040018	3.391834	83.020000
10000	87751.680000	0.113958	8.754587	8.765271	3.358841	0.040016	3.398857	83.025080
