transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1000	8858.880000	0.112881	8.651451	8.779921	3.423532	0.040000	3.463532	83.720600
2000	17709.600000	0.112933	8.751136	8.806786	3.366246	0.040020	3.406266	83.607960
3000	26375.360000	0.113743	8.722668	8.766930	3.330439	0.040013	3.370452	83.603253
4000	35035.120000	0.114171	8.706937	8.743215	3.295872	0.040020	3.335892	83.374160
5000	43801.880000	0.114150	8.718904	8.745096	3.298794	0.040016	3.338810	83.289992
6000	52464.080000	0.114364	8.709452	8.728893	3.295734	0.040020	3.335754	83.470807
7000	61030.000000	0.114698	8.688944	8.708235	3.278516	0.040017	3.318533	83.368217
8000	69708.520000	0.114764	8.687641	8.702724	3.293050	0.040015	3.333065	83.433685
9000	78441.080000	0.114736	8.692633	8.707867	3.292154	0.040013	3.332167	83.392600
10000	87144.440000	0.114752	8.693705	8.706615	3.305596	0.040012	3.345608	83.389376
