transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1	2066.240000	0.000484	0.000000	89.572174	5.250000	0.040000	5.290000	2012.760000
1000	94041.720000	0.010634	92.067548	92.118314	3.250539	0.040000	3.290539	2226.537600
2000	192548.000000	0.010387	95.288524	95.224411	3.261058	0.040020	3.301078	2309.967760
3000	285592.120000	0.010504	94.540140	94.495989	3.255521	0.040013	3.295534	2285.772747
4000	380200.880000	0.010521	94.557299	94.503620	3.195247	0.040010	3.235257	2302.625270
5000	474293.480000	0.010542	94.464341	94.456478	3.176905	0.040008	3.216913	2299.834536
6000	568370.360000	0.010556	94.399753	94.354720	3.185352	0.040007	3.225359	2292.915173
7000	665210.920000	0.010523	94.748490	94.712778	3.189744	0.040006	3.229749	2304.631034
8000	763116.080000	0.010483	95.143123	95.080399	3.180379	0.040005	3.220384	2319.160525
9000	860274.320000	0.010462	95.367050	95.352884	3.205365	0.040004	3.245369	2323.642609
10000	957673.440000	0.010442	95.570277	95.544316	3.204198	0.040004	3.244202	2330.895460
