transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1	196.120000	0.005099	0.000000	19.653333	11.864000	0.040000	11.904000	112.240000
1000	10396.440000	0.096187	10.210531	10.291853	4.176040	0.040040	4.216079	106.164840
2000	20560.000000	0.097276	10.187034	10.217435	4.092863	0.040020	4.132883	107.529400
3000	30686.120000	0.097764	10.166722	10.196770	4.071096	0.040027	4.111123	107.775827
4000	41045.720000	0.097452	10.214954	10.230775	4.093131	0.040020	4.133151	108.324290
5000	51600.160000	0.096899	10.282865	10.299860	4.115633	0.040016	4.155649	108.603512
6000	62019.480000	0.096744	10.305611	10.317391	4.134174	0.040013	4.174187	108.888300
7000	72462.280000	0.096602	10.325212	10.336145	4.145603	0.040017	4.185621	108.874629
8000	82665.080000	0.096776	10.309909	10.319675	4.132854	0.040015	4.172869	108.980025
9000	92972.160000	0.096803	10.309594	10.318335	4.124159	0.040013	4.164173	108.995938
10000	103101.320000	0.096992	10.291549	10.298292	4.107698	0.040012	4.147710	109.103328
