transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1	216.760000	0.004613	0.000000	19.076364	13.294545	0.040000	13.334545	91.400000
1000	8983.320000	0.111317	8.775335	8.911817	3.552421	0.040079	3.592500	83.633400
2000	17816.120000	0.112258	8.804082	8.875075	3.424116	0.040040	3.464155	82.972740
3000	26395.640000	0.113655	8.729203	8.769744	3.356678	0.040027	3.396704	82.860733
4000	35056.880000	0.114100	8.712208	8.739925	3.332080	0.040030	3.372110	83.098100
5000	43707.720000	0.114396	8.699932	8.723410	3.330675	0.040024	3.370699	83.134800
6000	52197.240000	0.114949	8.664857	8.683607	3.294097	0.040020	3.334116	83.213893
7000	60802.920000	0.115126	8.656402	8.672588	3.309605	0.040017	3.349622	83.133091
8000	69449.040000	0.115192	8.655117	8.671518	3.304477	0.040015	3.344492	83.198460
9000	78115.960000	0.115213	8.656428	8.670671	3.300504	0.040018	3.340522	83.131689
10000	86837.200000	0.115158	8.662910	8.675016	3.281806	0.040016	3.321822	83.179588
