transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1	621.200000	0.001610	0.000000	36.349333	18.453333	0.040000	18.493333	581.800000
1000	45662.240000	0.021900	45.086126	45.126535	25.452356	0.040000	25.492356	602.438880
2000	91058.520000	0.021964	45.241281	45.180605	25.335047	0.040000	25.375047	595.588460
3000	136242.920000	0.022019	45.222314	45.165347	25.537653	0.040000	25.577653	591.650653
4000	180359.280000	0.022178	44.945756	44.911492	25.336285	0.040000	25.376285	590.562310
5000	225606.880000	0.022162	45.006137	45.010166	25.449669	0.040000	25.489669	589.607896
6000	270632.120000	0.022170	45.009322	44.995717	25.389804	0.040000	25.429804	587.642633
7000	313968.040000	0.022295	44.770230	44.779952	25.217202	0.040000	25.257202	585.623549
8000	357833.080000	0.022357	44.657067	44.655976	24.966469	0.040000	25.006469	585.379755
9000	400732.560000	0.022459	44.461758	44.466856	24.831854	0.040004	24.871859	584.712284
10000	445748.160000	0.022434	44.517148	44.514083	24.904125	0.040004	24.944129	585.907792
