transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1	155.640000	0.006425	0.000000	68.560000	64.520000	0.040000	64.560000	75.520000
1000	29875.400000	0.033472	29.749510	29.785629	25.033420	0.040040	25.073460	81.691040
2000	60583.200000	0.033012	30.228894	30.251029	25.569231	0.040020	25.609251	81.431280
3000	89684.640000	0.033451	29.852951	29.862444	25.173773	0.040013	25.213786	81.384613
4000	118585.600000	0.033731	29.614894	29.623073	24.933260	0.040010	24.973270	81.256940
5000	148092.720000	0.033763	29.593335	29.595858	24.930074	0.040016	24.970090	81.291920
6000	176776.480000	0.033941	29.441714	29.441159	24.758261	0.040013	24.798274	81.363220
7000	206203.720000	0.033947	29.439646	29.442108	24.752432	0.040011	24.792443	81.356434
8000	237340.840000	0.033707	29.651856	29.652659	24.973713	0.040010	25.013723	81.325340
9000	266298.200000	0.033797	29.574682	29.574537	24.913802	0.040009	24.953811	81.277098
10000	297881.240000	0.033570	29.775538	29.781368	25.122360	0.040008	25.162368	81.301284
