transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1	106.240000	0.009413	0.000000	36.140000	32.360000	0.040000	32.400000	67.160000
1000	54037.440000	0.018506	53.985185	53.926347	49.484591	0.040000	49.524591	65.795000
2000	112035.080000	0.017852	55.992416	55.947612	51.549710	0.040000	51.589710	65.770420
3000	166632.320000	0.018004	55.527202	55.523053	51.100587	0.040000	51.140587	65.578533
4000	219172.600000	0.018250	54.780285	54.775676	50.334496	0.040000	50.374496	65.690580
5000	273721.440000	0.018267	54.733987	54.707511	50.266376	0.040000	50.306376	65.685624
6000	326042.440000	0.018403	54.331755	54.331987	49.890347	0.040007	49.930353	65.692473
7000	378223.600000	0.018508	54.024483	54.019671	49.576066	0.040006	49.616072	65.666691
8000	431914.560000	0.018522	53.982788	53.982230	49.535830	0.040005	49.575835	65.666345
9000	487039.520000	0.018479	54.109710	54.107302	49.658853	0.040004	49.698858	65.694396
10000	542224.480000	0.018443	54.217246	54.215502	49.774599	0.040004	49.814603	65.658812
