transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1	153.400000	0.006519	0.000000	24.890000	17.470000	0.040000	17.510000	112.960000
1000	43185.240000	0.023156	43.074915	43.026401	36.826321	0.040000	36.866321	103.016720
2000	87377.000000	0.022889	43.633617	43.614918	37.424284	0.040000	37.464284	103.309820
3000	130085.480000	0.023062	43.325135	43.331667	37.148391	0.040013	37.188404	103.065787
4000	174335.040000	0.022944	43.556299	43.553433	37.363918	0.040010	37.403928	103.064470
5000	216978.840000	0.023044	43.373763	43.372102	37.179668	0.040008	37.219676	103.199216
6000	259544.240000	0.023117	43.239013	43.232311	37.050282	0.040013	37.090295	103.073380
7000	302669.200000	0.023128	43.222718	43.224719	37.038783	0.040011	37.078795	102.996560
8000	344423.840000	0.023227	43.039185	43.039320	36.871282	0.040015	36.911297	102.981430
9000	388655.640000	0.023157	43.171712	43.168642	36.994993	0.040018	37.035011	103.037018
10000	430644.200000	0.023221	43.053385	43.052853	36.889310	0.040016	36.929326	103.006544
