transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1	145.080000	0.006893	0.000000	39.573333	30.800000	0.040000	30.840000	80.000000
1000	20395.080000	0.049031	20.270270	20.326627	15.143992	0.040040	15.184032	85.211320
2000	40438.920000	0.049457	20.156998	20.175449	15.081138	0.040040	15.121178	84.327980
3000	60413.680000	0.049658	20.096232	20.092176	14.996169	0.040027	15.036196	84.528013
4000	80633.480000	0.049607	20.127132	20.140934	15.035513	0.040020	15.075533	84.744570
5000	100996.040000	0.049507	20.174227	20.178233	15.045428	0.040024	15.085452	84.741936
6000	121625.640000	0.049332	20.250135	20.253382	15.124655	0.040020	15.164675	84.434480
7000	141589.840000	0.049439	20.209281	20.213170	15.095954	0.040017	15.135971	84.604143
8000	161574.320000	0.049513	20.181178	20.191492	15.054834	0.040015	15.094849	84.696290
9000	181481.200000	0.049592	20.150697	20.145653	15.014099	0.040018	15.054116	84.697547
10000	202158.600000	0.049466	20.203372	20.207565	15.063998	0.040016	15.104014	84.767316
