transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1	107.200000	0.009328	0.000000	18.130000	13.250000	0.040000	13.290000	66.280000
1000	30369.560000	0.032928	30.292653	30.239481	25.028064	0.040000	25.068064	84.218640
2000	61020.240000	0.032776	30.471756	30.464296	25.265215	0.040020	25.305235	85.018900
3000	91261.200000	0.032873	30.394798	30.388634	25.144757	0.040013	25.184770	84.476987
4000	122504.240000	0.032652	30.606912	30.611670	25.411270	0.040010	25.451280	84.056440
5000	153745.680000	0.032521	30.733843	30.728755	25.545356	0.040008	25.585364	83.893376
6000	184435.920000	0.032532	30.726574	30.723659	25.551190	0.040013	25.591203	84.023333
7000	215436.360000	0.032492	30.765704	30.768290	25.599891	0.040011	25.639903	84.036051
8000	245129.560000	0.032636	30.631624	30.629073	25.467528	0.040010	25.507538	83.958900
9000	274492.880000	0.032788	30.490686	30.489874	25.333750	0.040009	25.373758	83.974124
10000	305826.560000	0.032698	30.574993	30.575709	25.423863	0.040008	25.463871	84.077056
