transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1	121.440000	0.008235	0.000000	12.502222	6.860000	0.040000	6.900000	67.760000
1000	8229.320000	0.121517	8.115996	8.156310	3.106442	0.040000	3.146442	72.212360
2000	16651.680000	0.120108	8.269255	8.279781	3.238289	0.040000	3.278289	72.296760
3000	24745.880000	0.121232	8.210884	8.218704	3.196186	0.040000	3.236186	72.123560
4000	32881.280000	0.121650	8.192008	8.201557	3.175405	0.040000	3.215405	72.064730
5000	41127.400000	0.121573	8.202833	8.214191	3.178191	0.040000	3.218191	71.996544
6000	49406.880000	0.121441	8.215609	8.222150	3.163209	0.040000	3.203209	72.101267
7000	57442.480000	0.121861	8.189890	8.192235	3.154175	0.040000	3.194175	72.093183
8000	65647.280000	0.121863	8.191754	8.194841	3.146883	0.040000	3.186883	72.226270
9000	73661.760000	0.122180	8.172055	8.179913	3.140631	0.040000	3.180631	72.112044
10000	81854.080000	0.122169	8.174081	8.178351	3.127766	0.040008	3.167774	72.071424
