transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1	292.160000	0.003423	0.000000	218.600000	214.480000	0.040000	214.520000	69.440000
1000	553110.760000	0.001808	553.371972	553.046520	548.900680	0.040000	548.940680	73.765480
2000	1093766.640000	0.001829	547.010745	546.808760	542.738920	0.040000	542.778920	74.750900
3000	1628042.280000	0.001843	542.764295	542.656840	538.603987	0.040000	538.643987	75.269067
4000	2176496.720000	0.001838	544.187187	544.107400	540.063730	0.040010	540.103740	75.210070
5000	2767679.480000	0.001807	553.588182	553.520992	549.467728	0.040008	549.507736	75.151264
6000	3338071.120000	0.001797	556.389225	556.334660	552.295887	0.040013	552.335900	75.337227
7000	3880230.360000	0.001804	554.356079	554.309166	550.279137	0.040011	550.319149	75.252223
8000	4418470.000000	0.001811	552.341273	552.298025	548.281840	0.040010	548.321850	75.339880
9000	4973744.200000	0.001810	552.667190	552.575367	548.566337	0.040009	548.606346	75.187120
10000	5540335.960000	0.001805	554.059786	554.026148	550.000500	0.040008	550.040508	75.260508
