transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1	227.600000	0.004394	0.000000	34.186667	39.100000	0.040000	39.140000	153.360000
1000	91081.800000	0.010979	90.945145	90.787333	85.232854	0.040000	85.272854	184.657440
2000	184688.480000	0.010829	92.276578	92.204096	86.660549	0.040000	86.700549	184.092900
3000	277691.960000	0.010803	92.518960	92.475296	86.951329	0.040013	86.991342	184.489947
4000	371913.760000	0.010755	92.944776	92.959570	87.441720	0.040010	87.481730	184.492970
5000	466187.840000	0.010725	93.210690	93.221296	87.639544	0.040016	87.679560	184.476920
6000	560730.360000	0.010700	93.432699	93.413011	87.865338	0.040027	87.905365	184.401613
7000	655745.000000	0.010675	93.658723	93.634453	88.090595	0.040023	88.130618	184.393240
8000	743362.160000	0.010762	92.903433	92.897417	87.362030	0.040020	87.402050	184.415250
9000	832219.120000	0.010814	92.453775	92.434255	86.870474	0.040018	86.910492	184.583680
10000	920904.120000	0.010859	92.076860	92.077308	86.520744	0.040020	86.560764	184.357048
