transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1	182.680000	0.005474	0.000000	8.089524	2.221818	0.040000	2.261818	132.400000
1000	8731.600000	0.114527	8.557477	8.549814	0.086967	0.040000	0.127013	191.511600
2000	17048.600000	0.117312	8.437179	8.429179	0.063727	0.040000	0.103727	188.369560
3000	25557.480000	0.117382	8.461087	8.457517	0.055884	0.040000	0.095884	188.698733
4000	34308.280000	0.116590	8.533533	8.530385	0.051934	0.040010	0.091944	190.864240
5000	42614.960000	0.117330	8.488154	8.488398	0.049560	0.040008	0.089568	189.719464
6000	51163.360000	0.117271	8.498196	8.497927	0.047972	0.040007	0.087979	190.292093
7000	59641.600000	0.117368	8.495345	8.491727	0.046845	0.040011	0.086856	190.057063
8000	67973.160000	0.117694	8.474869	8.473303	0.045994	0.040010	0.086003	189.769220
9000	76681.920000	0.117368	8.500860	8.500024	0.045329	0.040013	0.085342	190.500191
10000	85250.480000	0.117301	8.507631	8.506297	0.044801	0.040016	0.084817	190.601576
