transcripts_nb	time	prod_rate	mean_prod_time	mean_bind_time	mean_ocf_time	mean_esc_time	mean_init_time	mean_elong_time
1000	8843.880000	0.113073	8.716797	8.766032	3.375382	0.040000	3.415382	82.844200
2000	17620.560000	0.113504	8.746753	8.765274	3.420109	0.040020	3.460129	83.609540
3000	26354.200000	0.113834	8.742381	8.757899	3.392234	0.040027	3.432261	83.079813
4000	35038.440000	0.114160	8.727842	8.737511	3.369267	0.040020	3.409287	82.940220
5000	43819.760000	0.114104	8.738540	8.749601	3.379353	0.040016	3.419369	82.977672
6000	52686.200000	0.113882	8.759860	8.770811	3.377196	0.040013	3.417209	82.903160
7000	61570.080000	0.113692	8.777580	8.781951	3.381058	0.040011	3.421070	82.793691
8000	70451.960000	0.113553	8.790619	8.793948	3.386728	0.040010	3.426738	82.914980
9000	79300.800000	0.113492	8.797089	8.799942	3.386454	0.040009	3.426462	82.867284
10000	88201.280000	0.113377	8.807429	8.813207	3.386875	0.040008	3.426882	83.068160
